Kanban,Part Number
R016,TEST
R020,835300501000
R026,894670222000
R028,896150202000
R032,90105W014000
R036,90119W001600
R058,122620TO8000
R090,162820T10000
R101,90919W100900
R120,162810T330
R160,137160T02000
R191,137500T04000
R201,138010T03000
R210,162670T09000
R212,162610T29000
R214,162640T23000
R214',162640T23000
R216,162830T06000
R218,238260T30000
R220,238270T05000
R220',238270T05000
R231,256010T03000
R240,162700T01100
R326,162780T02100
R327,162680T320
R342,132810T03002
R343,132810T03003
R350,122110T01000
R351,132810T06001
R352,132810T06002
R353,132810T06003
R360,122810T04000
R362,122820T04000
R405,156090T08000
R410,125110T02000
R420,220300T11000
R420',220300T11000
R421,117110T03101
R422,117110T03102
R423,117110T03103
R424,117110T03104
R425,220300T05000
R426,220300T14000
R427,220300T16000
R431,117210T03101
R432,117210T03102
R433,117210T03103
R434,117210T03104
R451,117110T05101
R452,117110T05102
R453,117110T05103
R454,117110T05104
R458,121020T04000
R461,117210T05101
R462,117210T05102
R463,117210T05103
R464,117210T05104
R470,232090T03000
R475,90910TC00100
R480,153300T05000
R490,153300T06000
R502,130500T08000
R503,130500T07000
R510,130700T03000
R510',130700T03000
R530,90915CA00300
R540,90311W001100
R549,238180T030
R566,293000T02000
R580,163210T01000
R590,135520T03000
R620,135400T03000
R632,135590T08000
R642,135490T05000
R650,135650T03000
R662,135610T08000
R664,135620T05000
R671,112130T02100
R682,312100237000
R692,312100513200
R701,312500514100
R711,171180T02000
R720,171730T02000
R750,90466W000700
R772,3127002020
R802,132110T19002
R803,132110T19003
R901,135210T07000
R902,151630T030
R909,232090T07000
R910,130700T07000
R912,125010T01000
R913,135190T040
R916,130110T09000
R917,130110T21000
R918,162680T14000
R922,171670T12000
R924,162620T05000
R926,162610T24000
R928,135060T11000
R930,13011OT11000
R934,162680T02000
R960,90105W001700
R960',90105W001700
R962,90105W004400
R963,90105W009000
R963',90105W009000
R964,90105W012800
R964',90105W012800
R964'',90105W012800
R964''',90105W012800
R965,90105W012900
R966,90105W019800
R967,90105W020000
R968,90105W020100
R968',90105W020100
R968'',90105W020100
R969,90105W020200
R969',90105W020200
R969'',90105W020200
R970,90105W020300
R971,90105W020400
R971',90105W020400
R972,90105W020500
R976,90119W001000
R977,90119W003000
R977',90119W003000
R977'',90119W003000
R977''',90119W003000
R977'''',90119W003000
R978,90119W011800
R978',90119W011800
R978'',90119W011800
R978''',90119W011800
R979,90119W016500
R980,90119W022000
R983,90105W002000
R984,90105W003300
R984',90105W003300
R985,90119W011600
R985',90119W011600
R986,90105W022000
R988,90109W002300
R989,90109W002400
R990,90105W003200
R990',90105W003200
R990'',90105W003200
R992,90109W001900
R997,90119W030800
R997',90119W030800
R998,90119W002600
R998',90119W002600
R998'',90119W002600
S006,151630H01000
S008,90916A300300
Z002,111153707000
Z007,901050636100
Z009,122043704000
Z011,916718065000
Z012,111153706200
Z016,111593701000
Z020,111913701000
Z025,903113809600
Z037,135613706000
Z038,117913701000
Z039,114453701000
Z047,122043705000
Z049,114523701100
Z055,122613707000
Z063,904662200500
Z065,123153706000
Z066,1231537070
Z071,132113722001
Z072,132113722002
Z073,132113722003
Z075,130113727000
Z078,114523704000
Z080,121803801000
Z082,122043701000
Z083,130503705000
Z087,162973701000
Z090,122613704000
Z091,163313709000
Z094,122623702000
Z095,163413701000
Z097,166713701000
Z099,901260806000
Z099',901260806000
Z102,961375170100
Z102',961375170100
Z102'',961375170100
Z106,123153703000
Z111,257193701100
Z112,915518062500
Z116,162793702000
Z118,238183703000
Z120,909101227600
Z123,9155180630
Z126,909190227200
Z128,9091902277
Z140,256103702000
Z142,256203714000
Z144,256273702000
Z146,256343702000
Z148,91551J061600
Z148',91551J061600
Z148'',91551J061600
Z151,132113736001
Z152,132113736002
Z153,132113736003
Z161,132113734001
Z162,132113734002
Z163,132113734003
Z170,894675206000
Z180,114463701000
Z181,894912809000
Z184,904681500700
